CVE_ID,Description,Cause1,Cause2,Location,Version,Attacker,Operation,Consequence
CVE-2011-0716,"The br_multicast_add_group function in net/bridge/br_multicast.c in the Linux kernel before 2.6.38, when a certain Ethernet bridge configuration is used, allows local users to cause a denial of service (memory corruption and system crash) by sending IGMP packets to a local interface.",,,The br_multicast_add_group function in net/bridge/br_multicast.c,the Linux kernel before 2.6.38,local users,sending IGMP packets to a local interface,a denial of service (memory corruption and system crash)
CVE-2016-1182,"ActionServlet.java in Apache Struts 1 1.x through 1.3.10 does not properly restrict the Validator configuration, which allows remote attackers to conduct cross-site scripting (XSS) attacks or cause a denial of service via crafted input, a related issue to CVE-2015-0899.",does not properly restrict the Validator configuration,,ActionServlet.java,Apache Struts 1 1.x through 1.3.10,remote attackers,crafted input,conduct cross-site scripting (XSS) attacks or cause a denial of service
CVE-2018-10882,"A flaw was found in the Linux kernel's ext4 filesystem. A local user can cause an out-of-bound write in in fs/jbd2/transaction.c code, a denial of service, and a system crash by unmounting a crafted ext4 filesystem image.",,,,the Linux kernel's ext4 filesystem,A local user,unmounting a crafted ext4 filesystem image,"an out-of-bound write in in fs/jbd2/transaction.c code, a denial of service, and a system crash"
CVE-2017-1000251,"The native Bluetooth stack in the Linux Kernel (BlueZ), starting at the Linux kernel version 2.6.32 and up to and including 4.13.1, are vulnerable to a stack overflow vulnerability in the processing of L2CAP configuration responses resulting in Remote code execution in kernel space.",a stack overflow vulnerability,,The native Bluetooth stack,the Linux kernel version 2.6.32 and up to and including 4.13.1,,,Remote code execution in kernel space
CVE-2016-2545,"The snd_timer_interrupt function in sound/core/timer.c in the Linux kernel before 4.4.1 does not properly maintain a certain linked list, which allows local users to cause a denial of service (race condition and system crash) via a crafted ioctl call.",does not properly maintain a certain linked list,,The snd_timer_interrupt function in sound/core/timer.c,the Linux kernel before 4.4.1,local users,a crafted ioctl call,a denial of service (race condition and system crash)
CVE-2012-4445,"Heap-based buffer overflow in the eap_server_tls_process_fragment function in eap_server_tls_common.c in the EAP authentication server in hostapd 0.6 through 1.0 allows remote attackers to cause a denial of service (crash or abort) via a small ""TLS Message Length"" value in an EAP-TLS message with the ""More Fragments"" flag set.",Heap-based buffer overflow,,the eap_server_tls_process_fragment function in eap_server_tls_common.c,the EAP authentication server in hostapd 0.6 through 1.0,remote attackers,"a small ""TLS Message Length"" value in an EAP-TLS message with the ""More Fragments"" flag set",a denial of service (crash or abort)
CVE-2016-10054,Buffer overflow in the WriteMAPImage function in coders/map.c in ImageMagick before 6.9.5-8 allows remote attackers to cause a denial of service (application crash) or have other unspecified impact via a crafted file.,Buffer overflow,,the WriteMAPImage function in coders/map.c,ImageMagick before 6.9.5-8,remote attackers,a crafted file,a denial of service (application crash) or have other unspecified impact
CVE-2020-5223,"In PrivateBin versions 1.2.0 before 1.2.2, and 1.3.0 before 1.3.2, a persistent XSS attack is possible. Under certain conditions, a user provided attachment file name can inject HTML leading to a persistent Cross-site scripting (XSS) vulnerability. The vulnerability has been fixed in PrivateBin v1.3.2 & v1.2.2. Admins are urged to upgrade to these versions to protect the affected users.",a persistent XSS attack,,,"PrivateBin versions 1.2.0 before 1.2.2, and 1.3.0 before 1.3.2",,provided attachment file name can inject HTML,a persistent Cross-site scripting (XSS) vulnerability
CVE-2017-17858,"Heap-based buffer overflow in the ensure_solid_xref function in pdf/pdf-xref.c in Artifex MuPDF 1.12.0 allows a remote attacker to potentially execute arbitrary code via a crafted PDF file, because xref subsection object numbers are unrestricted.",Heap-based buffer overflow,,the ensure_solid_xref function in pdf/pdf-xref.c,Artifex MuPDF 1.12.0,a remote attacker,a crafted PDF file,potentially execute arbitrary code
CVE-2012-4517,"ibacm before 1.0.6 does not properly manage reference counts for multicast connections, which allows remote attackers to cause a denial of service (ibacm service crash) via a crafted join response.",does not properly manage reference counts for multicast connections,,,ibacm before 1.0.6,remote attackers,a crafted join response,a denial of service (ibacm service crash)
CVE-2010-4704,"libavcodec/vorbis_dec.c in the Vorbis decoder in FFmpeg 0.6.1 and earlier allows remote attackers to cause a denial of service (application crash) via a crafted .ogg file, related to the vorbis_floor0_decode function. NOTE: this might overlap CVE-2011-0480.",,,libavcodec/vorbis_dec.c in the Vorbis decoder,FFmpeg 0.6.1 and earlier,remote attackers,"a crafted .ogg file, related to the vorbis_floor0_decode function",a denial of service (application crash)
CVE-2012-5652,Drupal 6.x before 6.27 allows remote attackers to obtain sensitive information about uploaded files via a (1) RSS feed or (2) search result.,,,,Drupal 6.x before 6.27,remote attackers,a (1) RSS feed or (2) search result,obtain sensitive information about uploaded files
CVE-2013-6123,"Multiple array index errors in drivers/media/video/msm/server/msm_cam_server.c in the MSM camera driver for the Linux kernel 3.x, as used in Qualcomm Innovation Center (QuIC) Android contributions for MSM devices and other products, allow attackers to gain privileges by leveraging camera device-node access, related to the (1) msm_ctrl_cmd_done, (2) msm_ioctl_server, and (3) msm_server_send_ctrl functions.",Multiple array index errors,,drivers/media/video/msm/server/msm_cam_server.c in the MSM camera driver,"the Linux kernel 3.x, as used in Qualcomm Innovation Center (QuIC) Android contributions for MSM devices and other products",,"leveraging camera device-node access, related to the (1) msm_ctrl_cmd_done, (2) msm_ioctl_server, and (3) msm_server_send_ctrl functions",gain privileges
CVE-2009-3280,Integer signedness error in the find_ie function in net/wireless/scan.c in the cfg80211 subsystem in the Linux kernel before 2.6.31.1-rc1 allows remote attackers to cause a denial of service (soft lockup) via malformed packets.,Integer signedness error,,the find_ie function in net/wireless/scan.c in the cfg80211 subsystem,the Linux kernel before 2.6.31.1-rc1,remote attackers,malformed packets,a denial of service (soft lockup)
CVE-2019-20041,"wp_kses_bad_protocol in wp-includes/kses.php in WordPress before 5.3.1 mishandles the HTML5 colon named entity, allowing attackers to bypass input sanitization, as demonstrated by the javascript&colon; substring.",mishandles the HTML5 colon named entity,,wp_kses_bad_protocol in wp-includes/kses.php,WordPress before 5.3.1,,the javascript&colon; substring,bypass input sanitization
CVE-2017-14922,"Stored XSS vulnerability via IMG element at ""History"" of Profile, Calendar, Tasks, and CRM in Tine 2.0 Community Edition before 2017.08.4 allows an authenticated user to inject JavaScript, which is mishandled during rendering by the application administrator and other users.",Stored XSS vulnerability,,,Tine 2.0 Community Edition before 2017.08.4,an authenticated user,"IMG element at ""History"" of Profile, Calendar, Tasks, and CRM",inject JavaScript
CVE-2016-9137,Use-after-free vulnerability in the CURLFile implementation in ext/curl/curl_file.c in PHP before 5.6.27 and 7.x before 7.0.12 allows remote attackers to cause a denial of service or possibly have unspecified other impact via crafted serialized data that is mishandled during __wakeup processing.,Use-after-free vulnerability,,the CURLFile implementation in ext/curl/curl_file.c,PHP before 5.6.27 and 7.x before 7.0.12,remote attackers,crafted serialized data that is mishandled during __wakeup processing,a denial of service or possibly have unspecified other impact
CVE-2016-10190,"Heap-based buffer overflow in libavformat/http.c in FFmpeg before 2.8.10, 3.0.x before 3.0.5, 3.1.x before 3.1.6, and 3.2.x before 3.2.2 allows remote web servers to execute arbitrary code via a negative chunk size in an HTTP response.",Heap-based buffer overflow,,libavformat/http.c,"FFmpeg before 2.8.10, 3.0.x before 3.0.5, 3.1.x before 3.1.6, and 3.2.x before 3.2.2",remote web servers,a negative chunk size in an HTTP response,execute arbitrary code
CVE-2017-1000188,nodejs ejs version older than 2.5.5 is vulnerable to a Cross-site-scripting in the ejs.renderFile() resulting in code injection,a Cross-site-scripting,,the ejs.renderFile(),nodejs ejs version older than 2.5.5,,,code injection
CVE-2016-3074,"Integer signedness error in GD Graphics Library 2.1.1 (aka libgd or libgd2) allows remote attackers to cause a denial of service (crash) or potentially execute arbitrary code via crafted compressed gd2 data, which triggers a heap-based buffer overflow.",Integer signedness error,,,GD Graphics Library 2.1.1 (aka libgd or libgd2),remote attackers,crafted compressed gd2 data,a denial of service (crash) or potentially execute arbitrary code
CVE-2011-4962,"code/sitefeatures/PageCommentInterface.php in SilverStripe 2.4.x before 2.4.6 might allow remote attackers to execute arbitrary code via a crafted cookie in a user comment submission, which is not properly handled when it is deserialized.",,,code/sitefeatures/PageCommentInterface.php,SilverStripe 2.4.x before 2.4.6,remote attackers,"a crafted cookie in a user comment submission, which is not properly handled when it is deserialized",execute arbitrary code
CVE-2013-4282,Stack-based buffer overflow in the reds_handle_ticket function in server/reds.c in SPICE 0.12.0 allows remote attackers to cause a denial of service (crash) via a long password in a SPICE ticket.,Stack-based buffer overflow,,the reds_handle_ticket function in server/reds.c,SPICE 0.12.0,remote attackers,a long password in a SPICE ticket,a denial of service (crash)
CVE-2020-5265,"In PrestaShop between versions 1.7.6.1 and 1.7.6.5, there is a reflected XSS on AdminAttributesGroups page. The problem is patched in 1.7.6.5.",a reflected XSS,,AdminAttributesGroups page,PrestaShop between versions 1.7.6.1 and 1.7.6.5,,,
CVE-2019-12378,"** DISPUTED ** An issue was discovered in ip6_ra_control in net/ipv6/ipv6_sockglue.c in the Linux kernel through 5.1.5. There is an unchecked kmalloc of new_ra, which might allow an attacker to cause a denial of service (NULL pointer dereference and system crash). NOTE: This has been disputed as not an issue.",an unchecked kmalloc of new_ra,,ip6_ra_control in net/ipv6/ipv6_sockglue.c,the Linux kernel through 5.1.5,,,a denial of service (NULL pointer dereference and system crash)
CVE-2019-6992,"A stored-self XSS exists in web/skins/classic/views/controlcaps.php of ZoneMinder through 1.32.3, allowing an attacker to execute HTML or JavaScript code in a vulnerable field via a long NAME or PROTOCOL to the index.php?view=controlcaps URI.",A stored-self XSS,,web/skins/classic/views/controlcaps.php,ZoneMinder through 1.32.3,,a long NAME or PROTOCOL to the index.php?view=controlcaps URI,execute HTML or JavaScript code in a vulnerable field
CVE-2018-11506,"The sr_do_ioctl function in drivers/scsi/sr_ioctl.c in the Linux kernel through 4.16.12 allows local users to cause a denial of service (stack-based buffer overflow) or possibly have unspecified other impact because sense buffers have different sizes at the CDROM layer and the SCSI layer, as demonstrated by a CDROMREADMODE2 ioctl call.",sense buffers have different sizes at the CDROM layer and the SCSI layer,,The sr_do_ioctl function in drivers/scsi/sr_ioctl.c,the Linux kernel through 4.16.12,local users,,a denial of service (stack-based buffer overflow) or possibly have unspecified other impact
CVE-2019-19384,A cross-site scripting (XSS) vulnerability in app/fax/fax_log_view.php in FusionPBX 4.4.1 allows remote attackers to inject arbitrary web script or HTML via the fax_uuid parameter.,A cross-site scripting (XSS) vulnerability,,app/fax/fax_log_view.php,FusionPBX 4.4.1,remote attackers,the fax_uuid parameter,inject arbitrary web script or HTML
CVE-2020-11095,"In FreeRDP before version 2.1.2, an out of bound reads occurs resulting in accessing a memory location that is outside of the boundaries of the static array PRIMARY_DRAWING_ORDER_FIELD_BYTES. This is fixed in version 2.1.2.",an out of bound reads,,,FreeRDP before version 2.1.2,,,accessing a memory location that is outside of the boundaries of the static array PRIMARY_DRAWING_ORDER_FIELD_BYTES
CVE-2017-10671,Heap-based Buffer Overflow in the de_dotdot function in libhttpd.c in sthttpd before 2.27.1 allows remote attackers to cause a denial of service (daemon crash) or possibly have unspecified other impact via a crafted filename.,Heap-based Buffer Overflow,,the de_dotdot function in libhttpd.c,sthttpd before 2.27.1,remote attackers,a crafted filename,a denial of service (daemon crash) or possibly have unspecified other impact
CVE-2013-1767,Use-after-free vulnerability in the shmem_remount_fs function in mm/shmem.c in the Linux kernel before 3.7.10 allows local users to gain privileges or cause a denial of service (system crash) by remounting a tmpfs filesystem without specifying a required mpol (aka mempolicy) mount option.,Use-after-free vulnerability,,the shmem_remount_fs function in mm/shmem.c,the Linux kernel before 3.7.10,local users,remounting a tmpfs filesystem without specifying a required mpol (aka mempolicy) mount option,gain privileges or cause a denial of service (system crash)
CVE-2016-7142,"The m_sasl module in InspIRCd before 2.0.23, when used with a service that supports SASL_EXTERNAL authentication, allows remote attackers to spoof certificate fingerprints and consequently log in as another user via a crafted SASL message.",,,The m_sasl module,InspIRCd before 2.0.23,remote attackers,a crafted SASL message,spoof certificate fingerprints and consequently log in as another user
CVE-2012-2123,"The cap_bprm_set_creds function in security/commoncap.c in the Linux kernel before 3.3.3 does not properly handle the use of file system capabilities (aka fcaps) for implementing a privileged executable file, which allows local users to bypass intended personality restrictions via a crafted application, as demonstrated by an attack that uses a parent process to disable ASLR.",does not properly handle the use of file system capabilities (aka fcaps) for implementing a privileged executable file,,The cap_bprm_set_creds function in security/commoncap.c,the Linux kernel before 3.3.3,local users,"a crafted application, as demonstrated by an attack that uses a parent process to disable ASLR",bypass intended personality restrictions
CVE-2020-1971,"The X.509 GeneralName type is a generic type for representing different types of names. One of those name types is known as EDIPartyName. OpenSSL provides a function GENERAL_NAME_cmp which compares different instances of a GENERAL_NAME to see if they are equal or not. This function behaves incorrectly when both GENERAL_NAMEs contain an EDIPARTYNAME. A NULL pointer dereference and a crash may occur leading to a possible denial of service attack. OpenSSL itself uses the GENERAL_NAME_cmp function for two purposes: 1) Comparing CRL distribution point names between an available CRL and a CRL distribution point embedded in an X509 certificate 2) When verifying that a timestamp response token signer matches the timestamp authority name (exposed via the API functions TS_RESP_verify_response and TS_RESP_verify_token) If an attacker can control both items being compared then that attacker could trigger a crash. For example if the attacker can trick a client or server into checking a malicious certificate against a malicious CRL then this may occur. Note that some applications automatically download CRLs based on a URL embedded in a certificate. This checking happens prior to the signatures on the certificate and CRL being verified. OpenSSL's s_server, s_client and verify tools have support for the ""-crl_download"" option which implements automatic CRL downloading and this attack has been demonstrated to work against those tools. Note that an unrelated bug means that affected versions of OpenSSL cannot parse or construct correct encodings of EDIPARTYNAME. However it is possible to construct a malformed EDIPARTYNAME that OpenSSL's parser will accept and hence trigger this attack. All OpenSSL 1.1.1 and 1.0.2 versions are affected by this issue. Other OpenSSL releases are out of support and have not been checked. Fixed in OpenSSL 1.1.1i (Affected 1.1.1-1.1.1h). Fixed in OpenSSL 1.0.2x (Affected 1.0.2-1.0.2w).",A NULL pointer dereference and a crash,,a function GENERAL_NAME_cmp which compares different instances of a GENERAL_NAME to see if they are equal or not,All OpenSSL 1.1.1 and 1.0.2 versions,,trick a client or server into checking a malicious certificate against a malicious CRL,a possible denial of service attack
